name_of_city,state_code,state_name,population_total,population_male,population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,location,total_graduates,male_graduates,female_graduates
Abohar ,3,PUNJAB,145238,76840,68398,103319,58347,44972,890,848,"30.1452928,74.1993043",16287,8612,7675
Achalpur ,27,MAHARASHTRA,112293,58256,54037,92433,49347,43086,928,909,"21.257584,77.5086754",8863,5269,3594
Adilabad ,28,ANDHRA PRADESH,117388,59232,58156,83955,46295,37660,982,947,"19.0809075,79.560344",10565,6797,3768
Adityapur ,20,JHARKHAND,173988,91495,82493,125985,71470,54515,902,910,"22.7834741,86.1576889",19225,12189,7036
Adoni ,28,ANDHRA PRADESH,166537,82743,83794,101292,56203,45089,1013,968,"15.6322227,77.2728368",11902,7871,4031
Agartala ,16,TRIPURA,399688,199616,200072,343633,174524,169109,1002,940,"23.831457,91.2867777",52711,30215,22496
Agra ,9,UTTAR PRADESH,1574542,849771,724771,880530,503805,376725,853,772,"27.1766701,78.0080745",185813,106082,79731
Ahmadabad ,24,GUJARAT,5570585,2935869,2634716,4464303,2459823,2004480,897,853,"23.022505,72.5713621",769858,435267,334591
Ahmadnagar ,27,MAHARASHTRA,350905,179755,171150,287468,152819,134649,952,859,"19.0952075,74.7495916",51661,29832,21829
Aizawl ,15,MIZORAM,291822,143803,148019,253588,125256,128332,1029,989,"23.727107,92.7176389",26832,14900,11932
Ajmer ,8,RAJASTHAN,542580,278786,263794,422913,230586,192327,946,884,"26.4498954,74.6399163",77989,42454,35535
Akbarpur ,9,UTTAR PRADESH,111594,57560,54034,75062,42208,32854,939,937,"26.4407468,82.5537514",9745,5811,3934
Akola ,27,MAHARASHTRA,427146,218184,208962,347687,183594,164093,958,899,"20.7059345,77.0219019",49715,28812,20903
Alandur ,33,TAMIL NADU,164162,82190,81972,142415,72755,69660,997,975,"12.9974873,80.2006371",45971,25463,20508
Alappuzha ,32,KERALA,174164,83888,90276,153269,74454,78815,1076,945,"9.4980667,76.3388484",22263,9900,12363
Aligarh ,9,UTTAR PRADESH,872575,463123,409452,533969,303886,230083,884,875,"27.8973944,78.0880129",99341,55965,43376
Allahabad ,9,UTTAR PRADESH,1117094,601363,515731,877590,493181,384409,858,876,"25.4358011,81.846311",233129,138248,94881
Alwar ,8,RAJASTHAN,315310,166900,148410,243634,138737,104897,889,833,"27.5529907,76.6345735",58764,35297,23467
Ambala ,6,HARYANA,196216,103533,92683,155780,85004,70776,895,834,"30.3781788,76.7766974",34943,17809,17134
Ambala Sadar ,6,HARYANA,104268,54241,50027,83236,43444,39792,922,841,"30.3248708,76.8432663",20618,10689,9929
Ambarnath ,27,MAHARASHTRA,254003,133006,120997,201707,111273,90434,910,906,"19.1825167,73.1926023",26596,14444,12152
Ambattur ,33,TAMIL NADU,478134,241181,236953,401253,208748,192505,982,960,"13.1143167,80.1480551",97186,52224,44962
Ambikapur ,22,CHHATTISGARH,114575,59673,54902,89590,48950,40640,920,887,"23.1354921,83.1817856",20857,12369,8488
Ambur ,33,TAMIL NADU,113856,56052,57804,88309,45439,42870,1031,955,"12.7903613,78.7166084",7813,5076,2737
Amravati ,27,MAHARASHTRA,646801,330544,316257,543568,284490,259078,957,910,"20.9374238,77.7795513",91996,51456,40540
Amreli ,24,GUJARAT,105980,55166,50814,85975,46721,39254,921,835,"21.6031774,71.2220832",11305,6579,4726
Amritsar ,3,PUNJAB,1132761,602754,530007,872527,478062,394465,879,824,"31.6339793,74.8722642",140359,69241,71118
Amroha ,9,UTTAR PRADESH,197135,102804,94331,108772,60621,48151,918,946,"28.9043537,78.4673426",13879,7635,6244
Anand ,24,GUJARAT,197351,102359,94992,166211,88444,77767,928,881,"22.5645175,72.928871",29803,17331,12472
Anantapur ,28,ANDHRA PRADESH,262340,131506,130834,195452,105452,90000,995,904,"14.6818877,77.6005911",43700,27392,16308
Anantnag ,1,JAMMU & KASHMIR,108505,56030,52475,71408,39591,31817,937,874,"33.7311255,75.1487007",12666,7291,5375
Arrah ,10,BIHAR,261099,139319,121780,189080,107822,81258,874,875,"25.5560443,84.6603307",35354,25045,10309
Asansol ,19,WEST BENGAL,564491,293748,270743,431300,236683,194617,922,908,"23.6739452,86.9523954",65625,40231,25394
Ashoknagar Kalyangarh ,19,WEST BENGAL,123906,62554,61352,106337,55398,50939,981,947,"22.84039,88.6241351",11992,7093,4899
Aurangabad ,10,BIHAR,101520,53307,48213,75796,42338,33458,904,893,"24.7457189,84.3804888",13141,9371,3770
Aurangabad ,27,MAHARASHTRA,1171330,610377,560953,908725,497404,411321,919,859,"19.8761653,75.3433139",159308,96576,62732
Avadi ,33,TAMIL NADU,344701,175055,169646,275881,145729,130152,969,965,"13.1067448,80.0969511",51647,27742,23905
Azamgarh ,9,UTTAR PRADESH,110980,58033,52947,85008,46587,38421,912,860,"26.0737044,83.1859458",19911,11691,8220
Badlapur ,27,MAHARASHTRA,175516,91695,83821,146259,78910,67349,914,890,"19.1667854,73.2367896",25115,13878,11237
Bagaha ,10,BIHAR,113012,59946,53066,56998,34751,22247,885,946,"27.1221959,84.0722375",3744,2756,988
Bagalkot ,29,KARNATAKA,112068,56837,55231,85860,46623,39237,972,915,"16.1725355,75.6557206",14090,9038,5052
Bahadurgarh ,6,HARYANA,170426,91736,78690,132108,75714,56394,858,784,"28.6924464,76.9239727",22521,13025,9496
Baharampur ,19,WEST BENGAL,195363,100431,94932,164445,86535,77910,945,962,"24.0988265,88.2679264",32154,19679,12475
Bahraich ,9,UTTAR PRADESH,186241,98529,87712,122602,66544,56058,890,895,"27.7525271,81.4278984",20490,11537,8953
Baidyabati ,19,WEST BENGAL,121081,62550,58531,100590,53217,47373,936,958,"22.795783,88.3190717",17224,10311,6913
Baleshwar Town ,21,ORISSA,118202,60308,57894,95084,50372,44712,960,955,"21.4869337,86.9246005",23170,14071,9099
Ballia ,9,UTTAR PRADESH,104271,55706,48565,80964,45467,35497,872,868,"25.7584381,84.1487319",16114,10252,5862
Bally ,19,WEST BENGAL,291972,156734,135238,216902,119508,97394,863,1185,"22.6500518,88.3423199",36100,22170,13930
